Team,Date,Score
American Samoa,31-10-2016,25.53
Andorra,31-10-2016,40.58
Argentina,31-10-2016,80.31
Australia,31-10-2016,85.33
Austria,31-10-2016,34.87
Bahamas,31-10-2016,33.76
Barbados,31-10-2016,36.94
Belgium,31-10-2016,57.94
Bermuda,31-10-2016,39.22
Bosnia & Herzegovina,31-10-2016,37.3
Botswana,31-10-2016,40.46
Brazil,31-10-2016,50.75
Bulgaria,31-10-2016,29.94
Cameroon,31-10-2016,32.33
Canada,31-10-2016,64.53
Cayman Islands,31-10-2016,42.88
Chile,31-10-2016,55.73
China,31-10-2016,39.58
Chinese Taipei,31-10-2016,40.27
Colombia,31-10-2016,48.66
Cook Islands,31-10-2016,47.11
Cote D'Ivoire,31-10-2016,45.66
Croatia,31-10-2016,45.74
Czech Republic,31-10-2016,52.51
Denmark,31-10-2016,33.94
England,31-10-2016,89.49
Fiji,31-10-2016,75.49
Finland,31-10-2016,28.71
France,31-10-2016,80.75
Georgia,31-10-2016,75.23
Germany,31-10-2016,57.71
Greece,31-10-2016,28.55
Guam,31-10-2016,37.85
Guyana,31-10-2016,45.35
Hong Kong,31-10-2016,57.84
Hungary,31-10-2016,36.81
India,31-10-2016,37.12
Indonesia,31-10-2016,28.73
Ireland,31-10-2016,81.67
Israel,31-10-2016,41.67
Italy,31-10-2016,72.23
Jamaica,31-10-2016,38.76
Japan,31-10-2016,74.95
Kazakhstan,31-10-2016,48.14
Kenya,31-10-2016,59.28
Korea,31-10-2016,54.85
Latvia,31-10-2016,46.24
Lithuania,31-10-2016,47.09
Luxembourg,31-10-2016,42.57
Madagascar,31-10-2016,47.43
Malaysia,31-10-2016,45.55
Malta,31-10-2016,47.67
Mauritius,31-10-2016,33.17
Mexico,31-10-2016,45.62
Moldova,31-10-2016,52.32
Monaco,31-10-2016,29.17
Morocco,31-10-2016,45.18
Namibia,31-10-2016,62.78
Netherlands,31-10-2016,51.52
New Zealand,31-10-2016,96.57
Nigeria,31-10-2016,37.71
Niue Island,31-10-2016,34.45
Norway,31-10-2016,31.9
Pakistan,31-10-2016,36.74
Papua New Guinea,31-10-2016,39.27
Paraguay,31-10-2016,48.77
Peru,31-10-2016,36.82
Philippines,31-10-2016,44.2
Poland,31-10-2016,52.04
Portugal,31-10-2016,54.29
Romania,31-10-2016,68.74
Russia,31-10-2016,61.91
Samoa,31-10-2016,71.37
Scotland,31-10-2016,80.44
Senegal,31-10-2016,47.24
Serbia,31-10-2016,36.27
Singapore,31-10-2016,42.9
Slovenia,31-10-2016,40.38
Solomon Islands,31-10-2016,30.4
South Africa,31-10-2016,84.85
Spain,31-10-2016,58.79
Sri Lanka,31-10-2016,48.71
St Vincent and the Grenadines,31-10-2016,34.91
Swaziland,31-10-2016,32.04
Sweden,31-10-2016,42.65
Switzerland,31-10-2016,52.53
Tahiti,31-10-2016,31.79
Thailand,31-10-2016,36.76
Tonga,31-10-2016,69.47
Trinidad & Tobago,31-10-2016,46.25
Tunisia,31-10-2016,49.74
Uganda,31-10-2016,47.74
Ukraine,31-10-2016,54.85
United Arab Emirates,31-10-2016,38.49
Uruguay,31-10-2016,63.56
USA,31-10-2016,65.6
Uzbekistan,31-10-2016,31.29
Vanuatu,31-10-2016,27.45
Venezuela,31-10-2016,41.14
Wales,31-10-2016,82.49
Zambia,31-10-2016,35.8
Zimbabwe,31-10-2016,49.99
Andorra,31-10-2011,42.83
Argentina,31-10-2011,80.28
Australia,31-10-2011,87.42
Austria,31-10-2011,36.79
Bahamas,31-10-2011,36.33
Barbados,31-10-2011,39.13
Belgium,31-10-2011,56.5
Bermuda,31-10-2011,45.94
Bosnia & Herzegovina,31-10-2011,36.18
Botswana,31-10-2011,36.68
Brazil,31-10-2011,54.04
Bulgaria,31-10-2011,37.36
Cameroon,31-10-2011,38.33
Canada,31-10-2011,72.92
Cayman Islands,31-10-2011,41.23
Chile,31-10-2011,59.52
China,31-10-2011,41.78
Chinese Taipei,31-10-2011,43.62
Colombia,31-10-2011,39.59
Cook Islands,31-10-2011,44.61
Cote D'Ivoire,31-10-2011,47.52
Croatia,31-10-2011,45.44
Czech Republic,31-10-2011,52.99
Denmark,31-10-2011,42.04
England,31-10-2011,81.58
Fiji,31-10-2011,68.78
Finland,31-10-2011,27.7
France,31-10-2011,84.7
Georgia,31-10-2011,71.09
Germany,31-10-2011,51.81
Guam,31-10-2011,36.24
Guyana,31-10-2011,42.54
Hong Kong,31-10-2011,54.34
Hungary,31-10-2011,38.87
India,31-10-2011,39.19
Ireland,31-10-2011,80.65
Israel,31-10-2011,42.02
Italy,31-10-2011,73.99
Jamaica,31-10-2011,36.35
Japan,31-10-2011,70.45
Kazakhstan,31-10-2011,53.62
Kenya,31-10-2011,49.18
Korea,31-10-2011,53.36
Latvia,31-10-2011,41.12
Lithuania,31-10-2011,51.14
Luxembourg,31-10-2011,32.26
Madagascar,31-10-2011,44.31
Malaysia,31-10-2011,41.75
Malta,31-10-2011,46.8
Moldova,31-10-2011,54.09
Monaco,31-10-2011,35.17
Morocco,31-10-2011,56.13
Namibia,31-10-2011,61.24
